,[job_title],[location],[company],[senior_level]
1200,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
1201,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1202,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1203,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1204,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1205,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1206,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1207,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1208,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1209,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1210,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1211,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1212,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1213,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1214,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
1215,"VP, Data Science",HBO Max,"New York, NY",yes
1216,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1217,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
1218,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1219,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1220,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1221,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1222,"VP, Data Science",HBO Max,"New York, NY",yes
1223,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1224,Data Scientist,National Security Agency,"Fort Meade, MD 20755",yes
1225,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
1226,"VP, Analytics & Data Science",Charles Schwab,"Austin, TX",yes
1227,VP of Data Science,Kar Global,"Chicago, IL",yes
