,[job_title],[parttime]
463,Data Scientist / Machine Learning Specialist,yes
464,Artificial Intelligence (AI) Associate - Data Scientist,yes
465,Data Science Internship,yes
466,Adjunct/Part-Time Faculty: Data Science Initiative,yes
467,Data Scientist,yes
468,Internship - Data Science,yes
469,"Data Science-Online Adjunct, Graduate Level",yes
470,Data Science Intern,yes
471,Artificial Intelligence (AI) Associate - Data Scientist,yes
472,Data Science Internship,yes
473,Data Science Internship,yes
474,Data Scientist / Machine Learning Specialist,yes
475,Data Science & Analytics Intern,yes
476,Internship - Data Science,yes
477,Adjunct/Part-Time Faculty: Data Science Initiative,yes
478,Data Scientist,yes
479,"Data Science-Online Adjunct, Graduate Level",yes
480,"Data Science Online Course Instructor (Part-Time, Contract)",yes
481,Artificial Intelligence (AI) Associate - Data Scientist,yes
482,Data Scientist / Machine Learning Specialist,yes
483,Statistician (Data Scientist),yes
484,Data Science Internship,yes
485,Data Scientist,yes
486,Data Science Instructor Associate (Part-Time),yes
487,Data Engineer II,yes
488,Data Scientist Intern,yes
489,Data Engineer,yes
490,Internship - Data Science,yes
491,Data Science Internship,yes
492,Artificial Intelligence (AI) Associate - Data Scientist,yes
493,Data Scientist / Machine Learning Specialist,yes
494,Part-Time Lecturer Data Mining/Machine Learning Online,yes
495,Data Science Internship,yes
496,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
497,Internship - Data Science,yes
498,Data Scientist,yes
499,Sr. Data Engineer,yes
500,Data Science Instructor,yes
501,Artificial Intelligence (AI) Associate - Data Scientist,yes
502,Statistician (Data Scientist),yes
503,Data Scientist / Machine Learning Specialist,yes
504,Data Scientist Intern,yes
505,Data Science Internship,yes
506,Data Scientist,yes
507,Data Engineer,yes
508,"Data Science-Online Adjunct, Graduate Level",yes
509,Data Science Internship,yes
510,Data Science Instructor Associate (Part-Time),yes
511,Artificial Intelligence (AI) Associate - Data Scientist,yes
512,Data Science Internship,yes
513,Data Engineer,yes
514,Internship - Data Science,yes
515,"Paid Summer Intern - Undergraduate, Data Science",yes
516,Statistician (Data Scientist),yes
517,Data Scientist Intern,yes
518,Data Science Internship,yes
519,Data Scientist / Machine Learning Specialist,yes
520,Data Science Internship,yes
521,Data Scientist / Machine Learning Specialist,yes
522,Artificial Intelligence (AI) Associate - Data Scientist,yes
523,Statistician (Data Scientist),yes
524,Data Engineer II,yes
525,Data Scientist,yes
526,Data Science Internship,yes
527,Data Science Instructor Associate (Part-Time),yes
528,Part-Time Lecturer Data Mining/Machine Learning Online,yes
529,Internship - Data Science,yes
530,Summer Intern - Data Scientist,yes
531,Artificial Intelligence (AI) Associate - Data Scientist,yes
532,Data Science Internship,yes
533,Sr. Data Engineer,yes
534,Data Scientist / Machine Learning Specialist,yes
535,Data Science Instructor Associate (Part-Time),yes
536,Summer Intern - Data Scientist,yes
537,Statistician (Data Scientist),yes
538,Internship - Data Science,yes
539,Part-Time Data Science Instructor,yes
540,Data Science Instructor,yes
541,Data Science Internship,yes
542,Artificial Intelligence (AI) Associate - Data Scientist,yes
543,Data Scientist / Machine Learning Specialist,yes
544,Part-Time Lecturer Data Mining/Machine Learning Online,yes
545,Data Science Internship,yes
546,Summer Intern - Data Scientist,yes
547,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
548,Data Science Instructor,yes
549,"Data Science Online Course Instructor (Part-Time, Contract)",yes
550,Data Scientist,yes
551,Data Science Internship,yes
552,Data Scientist / Machine Learning Specialist,yes
553,CDC Influenza Data Science Fellowship,yes
554,Data Science & Analytics Intern,yes
555,"Data Science-Online Adjunct, Graduate Level",yes
556,Data Science Internship,yes
557,Data Scientist,yes
558,Data Science Intern,yes
559,Adjunct/Part-Time Faculty: Data Science Initiative,yes
560,Artificial Intelligence (AI) Associate - Data Scientist,yes
561,Data Scientist / Machine Learning Specialist,yes
562,Artificial Intelligence (AI) Associate - Data Scientist,yes
563,Part-Time Lecturer Data Mining/Machine Learning Online,yes
564,Data Science Internship,yes
565,Data Scientist,yes
566,Data Science Internship,yes
567,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
568,CDC Influenza Data Science Fellowship,yes
569,Adjunct Faculty for Online Data Science Program--Data Analytics - Bay Path University,yes
570,Internship - Data Science,yes
571,Artificial Intelligence (AI) Associate - Data Scientist,yes
572,Data Science Internship,yes
573,Data Scientist / Machine Learning Specialist,yes
574,"Paid Summer Intern - Undergraduate, Data Science",yes
575,Data Scientist Intern,yes
576,Data Science Internship,yes
577,Data Engineer,yes
578,Data Science Intern - Summer 2020,yes
579,Internship - Data Science,yes
580,Statistician (Data Scientist),yes
581,Data Scientist / Machine Learning Specialist,yes
582,Artificial Intelligence (AI) Associate - Data Scientist,yes
583,Data Science Internship,yes
584,Data Science Internship,yes
585,Data Science & Analytics Intern,yes
586,Part-Time Lecturer Data Mining/Machine Learning Online,yes
587,Internship - Data Science,yes
588,Data Scientist,yes
589,Student Trainee- Ops Research Data Science,yes
590,Data Science Intern,yes
591,Data Scientist / Machine Learning Specialist,yes
592,Data Science Internship,yes
593,Artificial Intelligence (AI) Associate - Data Scientist,yes
594,Part-Time Lecturer Data Mining/Machine Learning Online,yes
595,CDC Influenza Data Science Fellowship,yes
596,Data Scientist,yes
597,Data Science Internship,yes
598,Data Science & Analytics Intern,yes
599,"Data Science-Online Adjunct, Graduate Level",yes
600,Internship - Data Science,yes
601,Artificial Intelligence (AI) Associate - Data Scientist,yes
602,Data Science Internship,yes
603,Statistician (Data Scientist),yes
604,Data Scientist / Machine Learning Specialist,yes
605,Data Science Instructor Associate (Part-Time),yes
606,Data Scientist Intern,yes
607,Data Engineer,yes
608,Data Science Internship,yes
609,Summer Intern - Data Scientist,yes
610,Data Scientist,yes
611,Artificial Intelligence (AI) Associate - Data Scientist,yes
612,Data Science Internship,yes
613,Data Scientist / Machine Learning Specialist,yes
614,Statistician (Data Scientist),yes
615,Internship - Data Science,yes
616,Data Engineer,yes
617,Data Scientist Intern,yes
618,"Paid Summer Intern - Undergraduate, Data Science",yes
619,Data Science Internship,yes
620,Data Science Internship,yes
621,Artificial Intelligence (AI) Associate - Data Scientist,yes
622,Statistician (Data Scientist),yes
623,Data Scientist / Machine Learning Specialist,yes
624,Data Scientist Intern,yes
625,Data Science Internship,yes
626,Data Scientist,yes
627,Data Engineer,yes
628,"Data Science-Online Adjunct, Graduate Level",yes
629,Data Science Internship,yes
630,Data Science Instructor Associate (Part-Time),yes
631,Artificial Intelligence (AI) Associate - Data Scientist,yes
632,Data Science Internship,yes
633,Sr. Data Engineer,yes
634,Data Scientist / Machine Learning Specialist,yes
635,Data Science Instructor Associate (Part-Time),yes
636,Summer Intern - Data Scientist,yes
637,Statistician (Data Scientist),yes
638,Internship - Data Science,yes
639,Part-Time Data Science Instructor,yes
640,Data Science Instructor,yes
641,Data Science Internship,yes
642,Data Science & Analytics Intern,yes
643,Data Scientist / Machine Learning Specialist,yes
644,CDC Influenza Data Science Fellowship,yes
645,"Data Science-Online Adjunct, Graduate Level",yes
646,Data Science Intern,yes
