,[job_title],[location],[company],[contract]
2067,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
2068,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2069,Data Scientist,Kaav inc.,"Dublin, OH",yes
2070,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2071,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2072,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2073,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2074,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2075,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2076,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2077,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
2078,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2079,Data Scientist,Kaav inc.,"Dublin, OH",yes
2080,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2081,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2082,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2083,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2084,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2085,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2086,Data Scientist,Kaav inc.,"Dublin, OH",yes
2087,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
2088,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2089,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2090,Urgent Need Data Scientist,Kaav Inc,"Dublin, OH",yes
2091,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2092,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2093,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2094,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2095,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2096,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
2097,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2098,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
2099,Data Scientist,Digitalogy,"New York, NY",yes
2100,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
2101,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2102,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2103,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2104,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2105,Data Engineer,Accelalpha,"Seattle, WA",yes
2106,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
2107,Data Scientist,Kaav inc.,"Dublin, OH",yes
2108,Urgent Need Data Scientist,Kaav Inc,"Dublin, OH",yes
2109,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
2110,Data Scientist,Lakarya,"Arlington, VA",yes
2111,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2112,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2113,Data Scientist,Digitalogy,"New York, NY",yes
2114,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2115,Data Scientist,Pricesenz,"Broomfield, CO",yes
2116,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2117,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
2118,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2119,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2120,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2121,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2122,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2123,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2124,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2125,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2126,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2127,Data Scientist,Pricesenz,"Broomfield, CO",yes
2128,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2129,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2130,Data Scientist,Kaav inc.,"Dublin, OH",yes
2131,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2132,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2133,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2134,Data Scientist,Digitalogy,"New York, NY",yes
2135,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2136,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2137,Data Scientist,Pricesenz,"Broomfield, CO",yes
2138,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2139,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2140,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2141,Data Scientist,Digitalogy,"New York, NY",yes
2142,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2143,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2144,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2145,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2146,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2147,Data Scientist,"Alexis Networks, Inc.","Newark, NJ 07102 (Central Business District area)",yes
2148,Data Scientist,Pricesenz,"Broomfield, CO",yes
2149,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2150,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2151,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2152,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2153,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2154,Data Scientist,Digitalogy,"New York, NY",yes
2155,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2156,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2157,Data Scientist,Pricesenz,"Broomfield, CO",yes
2158,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2159,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2160,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2161,Data Scientist,Digitalogy,"New York, NY",yes
2162,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2163,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2164,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2165,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2166,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2167,Data Scientist,Pricesenz,"Broomfield, CO",yes
2168,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2169,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2170,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
2171,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2172,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2173,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2174,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2175,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2176,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2177,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2178,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
2179,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
2180,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
2181,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2182,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2183,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
2184,Data Engineer,Accelalpha,"Seattle, WA",yes
2185,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
2186,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
2187,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
2188,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
2189,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2190,Machine Learning Expert,Peopleforce INC,"Salt Lake City, UT",yes
